Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Bareland,Water,Cropland,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_35NME_M_R,Shrubland,3,3,1,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Grassland,0,3,0,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Cropland,7,4,2,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Wetland,26,0,2,24,4,8,0,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Bareland,2,1,0,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Built-up,7,1,0,6,0,0,1,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Water,32,15,2,43,26,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NME_M_R,Forest,34,8,13,0,1,9,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Cropland,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Bareland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Built-up,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Forest,0,16,0,0,0,5,0,13,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Wetland,0,0,0,0,0,1,0,38,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Water,0,20,0,0,0,0,0,14,0,0
AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,Grassland,0,2,0,0,0,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_35NME_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NME_M_R,Wetland,0,0,0,0,0,20,0,0,7,0
AFRICA_2024_GSW_Yearly_2021_35NME_M_R,Water,0,0,0,0,0,0,0,0,38,0
AFRICA_2024_GSW_Yearly_2021_35NME_M_R,Forest,0,0,0,0,0,18,0,0,8,0
AFRICA_2024_GSW_Yearly_2021_35NME_M_R,Bareland,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Water,4,20,18,29,10,0,8,0,0,25
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Cropland,0,0,1,5,0,0,0,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Wetland,1,0,5,9,5,1,3,0,0,11
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Built-up,0,0,0,3,0,0,5,0,0,3
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Forest,5,16,12,0,7,5,17,0,0,20
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Grassland,0,2,0,4,0,0,4,0,0,4
AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,Bareland,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Wetland,0,0,1,9,0,20,2,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Built-up,0,0,0,1,0,0,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Forest,0,5,8,0,0,17,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Water,0,12,0,6,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Cropland,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Bareland,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,Grassland,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NME_M_R,Forest,4,0,0,0,0,3,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35NME_M_R,Wetland,2,0,0,4,0,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NME_M_R,Water,1,3,0,10,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NME_M_R,Built-up,0,0,0,3,0,0,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35NME_M_R,Grassland,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35NME_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
