Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Shrubland,3,3,3,3,2,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Grassland,0,3,10,2,2,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Cropland,20,0,5,9,8,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Wetland,75,7,0,4,1,43,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Bareland,17,5,4,0,6,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Built-up,10,4,2,6,0,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Water,69,12,38,32,0,48,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Forest,61,16,29,8,12,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35NNJ_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Grassland,0,0,6,0,0,0,1,16,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Built-up,0,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Forest,0,0,22,0,0,0,5,54,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Wetland,0,0,0,0,0,0,1,95,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Water,0,0,25,0,0,0,0,42,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35NNJ_M_R,Bareland,0,0,0,0,0,0,0,4,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Grassland,0,0,0,0,0,0,12,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Wetland,0,0,0,0,0,0,50,0,14,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Forest,0,0,0,0,0,0,41,0,16,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Water,0,0,0,0,0,0,0,0,49,0,0
AFRICA_2024_GSW_Yearly_2021_35NNJ_M_R,Bareland,0,0,0,0,0,0,8,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35NNJ_M_R,Cropland,5,0,0,0,3,14,0,0,0,32,0
AFRICA_2024_GLC_FCS30D_2022_35NNJ_M_R,Wetland,2,2,0,1,3,25,1,0,0,52,0
AFRICA_2024_GLC_FCS30D_2022_35NNJ_M_R,Built-up,5,5,0,1,0,3,0,0,0,10,1
AFRICA_2024_GLC_FCS30D_2022_35NNJ_M_R,Water,7,10,25,16,7,38,0,0,0,75,0
