Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PMN_M_R,Shrubland,3,2,2,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Grassland,0,3,3,3,1,2,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Cropland,21,0,1,2,2,2,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Wetland,3,1,0,2,0,1,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Bareland,8,5,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Built-up,7,6,0,7,0,6,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Water,1,0,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMN_M_R,Forest,16,14,3,2,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMN_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMN_M_R,Grassland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMN_M_R,Cropland,0,0,0,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMN_M_R,Forest,0,0,1,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMN_M_R,Water,0,0,1,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,Grassland,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,Cropland,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,Wetland,0,0,0,0,0,0,6,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,Bareland,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMN_M_R,Forest,0,0,0,0,0,0,5,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMN_M_R,Water,4,0,1,1,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMN_M_R,Cropland,13,0,0,1,2,8,0,0,12,2
AFRICA_2024_GLC_FCS30D_2022_35PMN_M_R,Bareland,3,0,0,0,0,2,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PMN_M_R,Built-up,5,4,0,3,0,5,0,0,6,0
AFRICA_2024_GLC_FCS30D_2022_35PMN_M_R,Forest,11,3,1,0,2,0,0,0,12,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,Grassland,0,3,0,1,2,2,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,Bareland,0,4,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,Cropland,0,0,0,0,5,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,Forest,0,3,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMN_M_R,Wetland,0,0,0,0,0,2,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMN_M_R,Grassland,0,3,0,2,0,2,1,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMN_M_R,Cropland,0,0,0,3,0,0,0,0,0,0
