Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_35PMR_M_R,Shrubland,3,1,3,1,1,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Grassland,0,1,3,1,2,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Cropland,13,0,8,0,4,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Wetland,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Bareland,18,4,0,1,7,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Built-up,7,1,4,0,4,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Water,1,0,2,0,2,0,0,0
AFRICA_2024_WorldCover_2021_35PMR_M_R,Forest,8,1,5,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PMR_M_R,Shrubland,0,0,0,0,0,2,0,0
AFRICA_2024_GSW_Yearly_2021_35PMR_M_R,Grassland,0,0,0,0,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_35PMR_M_R,Bareland,0,0,0,0,0,12,0,0
AFRICA_2024_GSW_Yearly_2021_35PMR_M_R,Built-up,0,0,0,0,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_35PMR_M_R,Forest,0,0,0,0,0,1,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMR_M_R,Cropland,8,0,3,2,3,0,8,1
AFRICA_2024_GLC_FCS30D_2022_35PMR_M_R,Bareland,21,3,0,9,6,1,7,2
AFRICA_2024_GLC_FCS30D_2022_35PMR_M_R,Built-up,4,0,2,0,1,0,3,0
AFRICA_2024_GLC_FCS30D_2022_35PMR_M_R,Water,3,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PMR_M_R,Forest,10,2,3,5,0,0,6,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMR_M_R,Grassland,0,3,1,1,3,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMR_M_R,Bareland,0,7,0,4,3,5,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PMR_M_R,Water,0,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMR_M_R,Grassland,0,1,4,0,2,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMR_M_R,Bareland,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PMR_M_R,Forest,0,0,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PMR_M_R,Bareland,0,0,0,0,0,1,0,0
