Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Shrubland,Built-up,Lichens_and_Mosses,Wetland,Water,Non_Wetland
AFRICA_2024_WorldCover_2021_35PNT_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNT_M_R,Grassland,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNT_M_R,Cropland,6,6,2,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNT_M_R,Bareland,15,0,9,4,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNT_M_R,Built-up,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PNT_M_R,Forest,4,1,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNT_M_R,Cropland,4,3,0,0,4,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNT_M_R,Bareland,9,0,3,2,10,7,3,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PNT_M_R,Forest,2,2,0,2,3,2,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNT_M_R,Grassland,0,0,0,2,0,0,0,1,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PNT_M_R,Bareland,0,0,0,12,0,0,0,5,0,0
AFRICA_2024_DynamicWorld_2024_35PNT_M_R,Grassland,0,3,1,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNT_M_R,Bareland,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PNT_M_R,Forest,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PNT_M_R,Bareland,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GWL_FCS30D_2022_35PNT_M_R,Bareland,0,0,0,0,0,0,0,0,0,5
AFRICA_2024_GWL_FCS30D_2022_35PNT_M_R,Grassland,0,0,0,0,0,0,0,0,0,1
