datasets,count
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",248
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",183
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",149
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",120
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",108
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",87
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",78
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",73
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",53
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R",38
"AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",36
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R",28
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R",27
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",26
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",19
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R",16
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",15
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R",13
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",12
"AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",11
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",9
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R",8
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",7
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",6
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",5
"AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",5
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R",4
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R",4
"AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",3
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",3
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R",3
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R",3
"AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",2
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R,AFRICA_2024_WorldCover_2021_35PRQ_M_R",2
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R",2
"AFRICA_2024_DynamicWorld_2024_35PRQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRQ_M_R",1
