Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Water,Non_Water,Shrubland,Built-up,Lichens_and_Mosses,Wetland,Non_Wetland
AFRICA_2024_WorldCover_2021_35PRT_M_R,Shrubland,2,1,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Grassland,0,2,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Cropland,21,15,8,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Bareland,23,0,1,6,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Built-up,2,1,1,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Forest,11,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Wetland,5,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_35PRT_M_R,Water,7,4,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,Grassland,0,0,0,0,1,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,Forest,0,0,0,0,2,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,Bareland,0,0,0,0,4,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,Water,0,0,0,0,0,11,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,Forest,11,0,0,8,0,0,5,9,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,Cropland,10,5,5,0,0,0,11,8,2,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,Bareland,11,0,6,5,0,0,11,10,3,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,Wetland,2,0,3,1,0,0,2,1,0,0,0
AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,Water,2,1,2,0,0,0,4,1,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRT_M_R,Grassland,0,1,3,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRT_M_R,Cropland,0,0,8,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_35PRT_M_R,Bareland,0,0,2,8,0,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_35PRT_M_R,Grassland,0,4,2,4,2,0,0,0,0,2,0
AFRICA_2024_DynamicWorld_2024_35PRT_M_R,Bareland,0,0,0,4,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_35PRT_M_R,Forest,0,0,0,3,0,0,0,0,0,1,0
AFRICA_2024_DynamicWorld_2024_35PRT_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_35PRT_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,12
AFRICA_2024_GWL_FCS30D_2022_35PRT_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,2
AFRICA_2024_GWL_FCS30D_2022_35PRT_M_R,Forest,0,0,0,0,0,0,0,0,0,0,1
AFRICA_2024_GWL_FCS30D_2022_35PRT_M_R,Bareland,0,0,0,0,0,0,0,0,0,0,2
