datasets,count
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",191
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",110
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",98
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",65
"AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",62
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R",51
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",38
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R",36
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",29
"AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",26
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",23
"AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R",22
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",18
"AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",17
"AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R",14
"AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R",14
