Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36NXM_M_R,Shrubland,3,1,2,1,1,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Grassland,0,2,17,0,0,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Cropland,45,0,10,5,4,24,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Wetland,17,0,0,1,0,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Lichens_and_Mosses,1,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Bareland,28,0,1,0,0,7,3,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Built-up,7,0,0,1,0,7,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Forest,57,7,20,8,0,0,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36NXM_M_R,Water,32,0,11,18,0,18,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Grassland,0,0,3,0,0,0,0,18,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Bareland,0,0,0,0,0,0,1,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Forest,0,0,13,0,0,0,4,27,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Cropland,0,0,0,0,0,0,0,12,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Wetland,0,0,0,0,0,0,0,29,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36NXM_M_R,Water,0,0,7,0,0,0,0,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXM_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXM_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXM_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36NXM_M_R,Water,0,0,0,0,0,0,0,0,4,0,0
AFRICA_2024_GSW_Yearly_2021_36NXM_M_R,Forest,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Cropland,12,0,0,15,10,16,0,0,0,34,4
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Wetland,0,0,0,1,0,8,0,0,0,17,0
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Built-up,2,3,0,1,0,3,0,0,0,5,0
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Water,9,7,7,17,5,17,0,0,0,23,0
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Forest,13,18,13,22,15,0,4,0,0,39,8
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Grassland,0,9,3,11,5,13,0,0,0,21,0
AFRICA_2024_GLC_FCS30D_2022_36NXM_M_R,Bareland,8,4,0,0,9,7,1,0,0,15,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,Grassland,0,21,1,2,2,26,6,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,Forest,0,25,1,1,13,0,22,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,Cropland,0,0,2,0,7,21,5,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,Wetland,0,2,0,2,1,17,5,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,Bareland,0,4,0,0,0,10,10,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36NXM_M_R,Water,0,0,0,3,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Wetland,5,5,0,4,0,7,7,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Forest,14,15,6,7,0,0,11,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Grassland,0,4,0,4,0,3,3,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Water,0,1,0,0,0,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Bareland,0,0,0,0,0,1,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36NXM_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0
