datasets,count
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",177
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",130
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",93
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",93
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",84
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",75
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",70
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",55
"AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",36
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",34
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R",25
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R",22
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",20
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",20
"AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",16
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",13
"AFRICA_2024_DynamicWorld_2024_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",13
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R",12
"AFRICA_2024_ESRI_Annual_LULC_2024_36PTS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GSW_Yearly_2021_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",12
"AFRICA_2024_GLC_FCS30D_2022_36PTS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTS_M_R,AFRICA_2024_WorldCover_2021_36PTS_M_R",11
