Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PUB_M_R,Shrubland,1,2,1,2,1,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Grassland,0,10,3,4,7,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Cropland,61,0,28,52,20,11,5,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Wetland,53,57,3,69,0,1,13,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Bareland,29,22,0,15,6,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Built-up,10,8,9,8,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Forest,12,6,5,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PUB_M_R,Water,10,39,4,21,23,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Cropland,0,0,0,0,18,0,0,91,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Wetland,0,0,0,0,0,0,1,190,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Grassland,0,0,0,0,1,0,0,25,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Forest,0,0,0,0,2,0,0,15,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Water,0,0,0,0,17,0,0,49,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,Bareland,0,0,0,0,0,0,0,12,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,Grassland,0,0,0,0,0,0,10,0,1,0,0
AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,Wetland,0,0,0,0,0,0,62,0,20,0,0
AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,Cropland,0,0,0,0,0,0,58,0,10,0,0
AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,Bareland,0,0,0,0,0,0,27,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,Water,0,0,0,0,0,0,0,0,28,0,0
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Cropland,68,0,10,24,18,27,0,0,0,55,4
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Wetland,39,39,4,28,0,6,1,0,0,50,0
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Built-up,12,4,3,0,0,0,0,0,0,2,3
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Forest,20,17,2,0,2,7,0,0,0,13,4
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Grassland,0,1,1,4,1,0,0,0,0,3,0
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Water,29,40,8,9,17,1,0,0,0,19,0
AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,Bareland,46,16,0,0,0,19,0,0,0,25,6
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Grassland,0,11,3,3,16,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Wetland,0,63,0,0,0,2,24,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Forest,0,14,0,0,11,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Cropland,0,0,3,4,43,24,4,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Bareland,0,23,0,8,6,18,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Water,0,30,0,0,30,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Cropland,7,0,24,11,29,0,20,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Wetland,30,30,2,6,0,0,35,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Water,3,1,0,0,4,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Grassland,0,11,10,1,4,0,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Bareland,0,8,0,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Built-up,0,12,11,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PUB_M_R,Forest,0,6,1,0,4,0,4,0,0,0,0
