Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_36PVT_M_R,Shrubland,3,3,3,1,1,1,2,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Grassland,0,18,28,2,1,4,36,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Cropland,52,0,15,7,8,1,14,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Wetland,87,40,0,5,4,19,85,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Bareland,19,10,2,0,2,0,1,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Built-up,11,7,0,7,0,0,6,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Water,70,33,56,19,0,0,75,0,0,0,0
AFRICA_2024_WorldCover_2021_36PVT_M_R,Forest,58,27,35,9,5,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Grassland,0,0,8,0,0,0,0,74,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Cropland,0,0,1,0,0,0,0,44,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Forest,0,0,19,0,0,2,0,102,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Wetland,0,0,0,0,0,15,0,261,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Water,0,0,23,0,0,0,0,101,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PVT_M_R,Bareland,0,0,0,0,0,0,0,9,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Grassland,0,0,0,0,0,24,0,0,7,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Cropland,0,0,0,0,0,22,0,0,3,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Wetland,0,0,0,0,0,83,0,0,27,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Forest,0,0,0,0,0,39,0,0,8,0,0
AFRICA_2024_GSW_Yearly_2021_36PVT_M_R,Water,0,0,0,0,0,0,0,0,57,0,0
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Cropland,22,0,1,5,7,0,18,0,0,46,2
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Wetland,38,50,0,18,3,15,37,0,0,77,0
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Built-up,7,7,0,2,0,0,4,0,0,8,0
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Water,31,41,23,22,5,0,43,0,0,70,0
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Forest,28,41,19,5,11,2,0,0,0,71,0
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Grassland,0,20,8,7,1,0,21,0,0,36,0
AFRICA_2024_GLC_FCS30D_2022_36PVT_M_R,Bareland,8,7,0,0,4,0,6,0,0,15,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Grassland,0,10,45,0,11,26,16,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Cropland,0,0,18,2,18,11,14,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Forest,0,13,58,0,19,25,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Wetland,0,9,0,2,8,58,37,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Water,0,1,90,9,3,0,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PVT_M_R,Bareland,0,1,7,0,7,1,4,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Cropland,6,0,11,7,0,7,10,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Wetland,55,16,0,3,0,41,47,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Water,24,0,35,0,0,0,9,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Forest,21,7,14,0,0,11,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Grassland,0,5,4,4,0,2,6,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Bareland,0,2,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PVT_M_R,Built-up,0,6,0,4,0,0,1,0,0,0,0
