Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland
AFRICA_2024_WorldCover_2021_36PXS_M_R,Shrubland,3,1,3,2,1,2,3,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Grassland,0,6,25,1,2,4,12,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Cropland,58,0,29,24,16,11,31,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Wetland,41,14,0,1,1,11,36,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Bareland,26,9,7,0,3,3,5,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Built-up,8,7,1,8,0,0,9,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Forest,66,29,34,16,13,6,0,0,0,0
AFRICA_2024_WorldCover_2021_36PXS_M_R,Water,64,38,33,35,0,0,56,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Grassland,0,0,1,0,0,1,0,33,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Cropland,0,0,3,0,0,1,0,41,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Bareland,0,0,0,0,0,0,0,8,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Built-up,0,0,1,0,0,0,0,1,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Forest,0,0,17,0,0,5,0,60,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Wetland,0,0,0,0,0,3,0,119,0,0
AFRICA_2024_GWL_FCS30D_2022_36PXS_M_R,Water,0,0,16,0,0,0,0,43,0,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Shrubland,0,0,0,0,0,4,0,0,1,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Grassland,0,0,0,0,0,15,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Cropland,0,0,0,0,0,21,0,0,2,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Bareland,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Built-up,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Forest,0,0,0,0,0,36,0,0,8,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Wetland,0,0,0,0,0,24,0,0,1,0
AFRICA_2024_GSW_Yearly_2021_36PXS_M_R,Water,0,0,0,0,0,0,0,0,44,0
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Cropland,29,0,3,23,11,1,34,0,0,62
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Water,25,36,16,39,15,0,36,0,0,65
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Bareland,9,9,0,0,1,0,8,0,0,24
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Built-up,6,7,1,1,0,0,6,0,0,9
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Forest,26,32,17,30,20,5,0,0,0,66
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Grassland,0,5,1,13,3,1,16,0,0,29
AFRICA_2024_GLC_FCS30D_2022_36PXS_M_R,Wetland,9,4,0,20,6,3,26,0,0,41
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Water,0,16,21,6,6,0,6,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Grassland,0,27,6,1,2,10,24,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Built-up,0,1,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Forest,0,31,19,1,23,42,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Cropland,0,0,8,0,24,10,15,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Wetland,0,10,0,1,1,29,12,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PXS_M_R,Bareland,0,8,0,0,3,14,2,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Water,13,19,24,5,0,0,10,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Cropland,5,0,4,6,0,4,8,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Wetland,9,6,0,0,0,5,12,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Forest,14,11,10,6,0,13,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Grassland,0,5,3,3,0,5,4,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Built-up,0,7,0,1,0,2,4,0,0,0
AFRICA_2024_DynamicWorld_2024_36PXS_M_R,Bareland,0,0,1,0,0,5,0,0,0,0
