Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_36PYT_M_R,Shrubland,3,2,2,1,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Grassland,0,5,2,2,1,14,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Cropland,41,0,7,13,2,22,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Wetland,38,15,0,2,1,50,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Bareland,37,11,1,0,16,17,4,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Built-up,15,4,0,7,0,10,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Forest,72,22,22,25,7,0,5,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Water,70,38,33,47,9,63,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_36PYT_M_R,Permanent_ice_and_snow,0,0,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Cropland,0,0,1,0,0,0,0,8,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Forest,0,0,18,0,0,0,4,51,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Wetland,0,0,0,0,0,0,0,69,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Water,0,0,32,0,0,0,0,34,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Grassland,0,0,2,0,0,0,0,4,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,Bareland,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Shrubland,0,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Grassland,0,0,0,0,0,0,16,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Cropland,0,0,0,0,0,0,26,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Wetland,0,0,0,0,0,0,59,0,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Bareland,0,0,0,0,0,0,26,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Forest,0,0,0,0,0,0,74,0,10,0,0,0
AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,Water,0,0,0,0,0,0,0,0,41,0,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Water,40,48,32,43,31,39,0,0,0,48,1,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Cropland,13,0,1,1,3,12,0,0,0,32,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Wetland,5,14,0,3,2,19,0,0,0,20,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Bareland,29,23,0,0,21,11,0,0,0,17,3,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Built-up,5,10,0,4,0,4,0,0,0,9,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Forest,32,49,18,20,20,0,4,0,0,61,6,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Grassland,0,8,2,0,0,8,0,0,0,14,0,0
AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Grassland,0,3,2,3,5,7,6,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Wetland,0,4,0,0,1,5,19,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Forest,0,13,23,4,18,0,39,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Built-up,0,0,0,2,0,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Cropland,0,0,0,6,5,10,4,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Bareland,0,2,0,0,15,10,30,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Water,0,1,5,19,8,12,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Cropland,1,0,1,2,0,6,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Wetland,5,6,0,1,0,20,9,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Forest,12,8,6,6,0,0,16,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Grassland,0,6,0,6,0,6,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Bareland,0,1,0,0,0,1,8,0,0,0,0,2
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Built-up,0,4,0,8,0,3,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_36PYT_M_R,Water,0,0,5,5,0,12,0,0,0,0,0,0
