datasets,count
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",465
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",325
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",209
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",201
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",163
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",139
"AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",138
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",102
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",92
"AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_GSW_Yearly_2021_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",55
"AFRICA_2024_GLC_FCS30D_2022_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",51
"AFRICA_2024_DynamicWorld_2024_36PZA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZA_M_R,AFRICA_2024_WorldCover_2021_36PZA_M_R",40
