Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37NFE_M_R,Shrubland,3,1,3,1,1,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Grassland,0,5,3,1,1,6,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Cropland,37,0,11,0,3,25,6,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Wetland,28,11,5,0,3,11,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Bareland,40,11,0,1,8,19,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Built-up,12,0,5,0,0,3,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Water,96,41,75,0,0,57,10,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Forest,54,29,10,5,2,0,8,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37NFE_M_R,Permanent_ice_and_snow,1,0,2,0,0,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Grassland,0,0,0,0,12,0,0,9,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Cropland,0,0,0,0,23,0,0,7,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Wetland,0,0,0,0,13,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Bareland,0,0,0,0,41,0,0,14,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Water,0,0,0,0,0,0,0,74,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Forest,0,0,0,0,53,0,0,16,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37NFE_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,1,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Water,51,57,31,11,0,20,29,0,47,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Wetland,4,13,3,0,0,2,0,0,13,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Bareland,33,35,0,3,7,7,9,0,28,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Built-up,5,4,1,0,0,2,0,0,6,1,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Forest,35,40,22,11,7,0,8,0,53,2,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Grassland,0,14,1,1,0,1,0,0,17,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Cropland,16,0,13,1,1,9,0,0,31,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37NFE_M_R,Permanent_ice_and_snow,1,1,0,0,0,0,0,0,2,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,Forest,0,0,0,0,7,0,8,0,0,0,12,0
AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,38,0
AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,Grassland,0,0,0,0,0,0,0,0,0,0,16,0
AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,11,0
AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,Bareland,0,0,0,0,7,0,9,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37NFE_M_R,Water,0,0,0,0,0,0,29,0,0,0,10,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Grassland,0,0,3,8,14,16,12,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Water,0,0,31,4,0,15,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Bareland,0,0,0,10,35,13,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Cropland,0,0,2,5,29,24,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Forest,0,0,0,7,49,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Wetland,0,0,0,0,8,6,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37NFE_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Cropland,5,0,5,0,0,5,3,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Water,2,22,39,0,0,25,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Forest,6,16,6,0,4,0,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Grassland,0,7,8,0,7,6,4,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Wetland,0,6,7,0,6,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Bareland,0,4,0,0,12,1,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37NFE_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
