Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PBM_M_R,Shrubland,3,3,1,1,1,1,3,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Grassland,0,23,27,5,9,0,13,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Cropland,44,0,42,33,25,13,42,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Wetland,14,15,0,3,0,1,19,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Lichens_and_Mosses,1,1,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Bareland,30,36,2,0,3,18,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Built-up,10,9,5,8,0,1,9,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Forest,61,57,39,31,22,13,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PBM_M_R,Water,50,90,46,48,0,0,68,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Grassland,0,0,1,0,0,0,0,27,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Cropland,0,0,14,0,0,2,0,50,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Forest,0,0,10,0,0,4,0,48,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Built-up,0,0,0,0,0,0,0,5,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Water,0,0,41,0,0,0,0,40,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Wetland,0,0,0,0,0,0,0,52,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PBM_M_R,Bareland,0,0,4,0,0,0,0,3,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Grassland,0,0,0,0,0,6,0,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Cropland,0,0,0,0,0,53,0,0,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Wetland,0,0,0,0,0,19,0,0,8,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Bareland,0,0,0,0,0,39,0,0,14,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Forest,0,0,0,0,0,70,0,0,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PBM_M_R,Water,0,0,0,0,0,0,0,0,64,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Water,35,51,41,76,35,0,56,0,0,66,9,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Cropland,42,0,14,39,25,2,47,0,0,56,11,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Bareland,20,28,4,0,17,0,16,0,0,21,1,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Built-up,8,7,0,6,0,0,7,0,0,9,4,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Forest,47,46,10,52,33,4,0,0,0,62,13,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Grassland,0,10,1,8,3,0,24,0,0,30,0,0
AFRICA_2024_GLC_FCS30D_2022_37PBM_M_R,Wetland,5,3,0,8,1,0,17,0,0,10,1,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Grassland,0,40,0,1,13,11,20,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Wetland,0,43,0,0,0,17,2,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Bareland,0,22,0,0,8,42,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Built-up,0,3,0,0,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Forest,0,50,1,0,31,71,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Cropland,0,0,0,8,36,35,23,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PBM_M_R,Water,0,67,0,14,1,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Cropland,26,0,8,15,0,20,22,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Wetland,7,5,0,1,0,12,19,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Bareland,2,9,1,0,0,8,6,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Forest,13,12,8,3,0,12,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Built-up,1,9,0,0,0,0,8,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Grassland,0,4,0,2,0,2,4,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PBM_M_R,Water,0,13,5,27,0,0,40,0,0,0,0,0
