Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Shrubland,2,1,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Grassland,0,3,3,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Cropland,20,0,32,0,4,2,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Lichens_and_Mosses,0,1,1,0,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Bareland,27,30,0,21,6,23,27,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Built-up,2,6,13,0,3,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Wetland,3,26,29,0,3,0,14,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Water,6,20,62,3,5,26,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_37PHQ_M_R,Forest,3,9,13,0,0,5,1,0,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,Cropland,0,0,0,0,0,1,0,4,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,Bareland,0,0,0,0,0,18,5,32,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,Water,0,0,0,0,0,31,0,24,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,Wetland,0,0,0,0,0,0,0,52,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_37PHQ_M_R,Forest,0,0,0,0,0,4,0,5,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,Bareland,0,0,0,0,0,0,75,0,21,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,Built-up,0,0,0,0,0,0,11,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,Wetland,0,0,0,0,0,0,41,0,12,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,Water,0,0,0,0,0,0,0,0,22,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,Cropland,0,0,0,0,0,0,6,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_37PHQ_M_R,Forest,0,0,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Cropland,23,0,21,14,0,1,0,0,0,19,6,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Bareland,44,33,0,35,1,31,16,0,0,36,8,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Built-up,11,5,7,0,0,1,0,0,0,8,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Water,27,9,40,26,0,53,0,0,0,18,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Grassland,0,2,1,0,0,0,0,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Wetland,19,7,8,4,0,0,0,0,0,12,2,0
AFRICA_2024_GLC_FCS30D_2022_37PHQ_M_R,Forest,17,12,14,6,0,4,0,0,0,12,4,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,Grassland,0,3,2,2,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,Bareland,0,19,0,33,2,4,37,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,Cropland,0,0,8,8,5,0,1,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,Wetland,0,8,8,4,23,0,39,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,Water,0,0,32,14,0,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_37PHQ_M_R,Forest,0,15,0,2,0,0,2,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,Cropland,1,0,9,0,9,2,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,Wetland,2,3,27,0,15,0,14,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,Bareland,1,13,0,0,2,6,15,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,Water,1,0,30,0,4,7,0,0,0,0,0,1
AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,Grassland,0,4,3,0,2,1,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_37PHQ_M_R,Built-up,0,3,8,0,0,0,0,0,0,0,0,0
