datasets,count
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",392
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",298
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GSW_Yearly_2021_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",239
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GSW_Yearly_2021_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",219
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",139
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",73
"AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",64
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GSW_Yearly_2021_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",56
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R",54
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GSW_Yearly_2021_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",53
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",36
"AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",30
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R",28
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R",28
"AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R",18
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",18
"AFRICA_2024_DynamicWorld_2024_38NKM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GSW_Yearly_2021_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",16
"AFRICA_2024_ESRI_Annual_LULC_2024_38NKM_M_R,AFRICA_2024_GLC_FCS30D_2022_38NKM_M_R,AFRICA_2024_GWL_FCS30D_2022_38NKM_M_R,AFRICA_2024_WorldCover_2021_38NKM_M_R",13
