datasets,count
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",223
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",112
"AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",83
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R",72
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",31
"AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",30
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",28
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R",28
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",26
"AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R",23
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",21
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",19
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R",12
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",10
"AFRICA_2024_DynamicWorld_2024_38PKS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",9
"AFRICA_2024_GLC_FCS30D_2022_38PKS_M_R,AFRICA_2024_GSW_Yearly_2021_38PKS_M_R,AFRICA_2024_WorldCover_2021_38PKS_M_R",9
