Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Wetland,Lichens_and_Mosses
AFRICA_2024_WorldCover_2021_38PLR_M_R,Shrubland,3,3,2,1,1,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Grassland,0,5,3,1,2,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Cropland,50,0,23,11,23,10,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Wetland,4,4,6,0,8,1,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Lichens_and_Mosses,1,1,1,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Bareland,23,15,0,7,1,4,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Built-up,9,15,11,0,3,6,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Water,18,17,19,0,0,0,0,0,0,0
AFRICA_2024_WorldCover_2021_38PLR_M_R,Forest,10,8,3,0,0,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Grassland,0,0,0,0,7,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Cropland,0,0,0,0,47,0,7,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Wetland,0,0,0,0,11,0,3,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Bareland,0,0,0,0,8,0,0,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Water,0,0,0,0,0,0,14,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Built-up,0,0,0,0,12,0,1,0,0,0
AFRICA_2024_GSW_Yearly_2021_38PLR_M_R,Forest,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,Water,23,17,19,7,0,0,0,13,10,0
AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,Cropland,35,0,21,11,4,10,0,43,8,2
AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,Bareland,19,10,0,9,1,1,0,14,0,3
AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,Built-up,16,8,6,0,0,2,0,13,1,4
AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,Forest,11,16,5,6,0,0,0,12,0,0
AFRICA_2024_GLC_FCS30D_2022_38PLR_M_R,Grassland,0,4,0,0,0,1,0,5,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Water,0,23,0,2,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Grassland,0,6,2,5,1,3,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Wetland,0,6,0,1,3,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Bareland,0,13,0,20,1,1,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Built-up,0,1,1,0,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Forest,0,8,0,7,0,0,0,0,0,0
AFRICA_2024_ESRI_Annual_LULC_2024_38PLR_M_R,Cropland,0,0,2,18,3,6,0,0,0,0
AFRICA_2024_GWL_FCS30D_2022_38PLR_M_R,Cropland,0,0,0,0,4,0,0,0,8,0
AFRICA_2024_GWL_FCS30D_2022_38PLR_M_R,Built-up,0,0,0,0,0,0,0,0,1,0
AFRICA_2024_GWL_FCS30D_2022_38PLR_M_R,Water,0,0,0,0,0,0,0,0,10,0
AFRICA_2024_GWL_FCS30D_2022_38PLR_M_R,Bareland,0,0,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Cropland,3,0,8,0,9,5,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Water,0,9,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Grassland,0,4,4,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Wetland,0,4,0,0,1,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Bareland,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Forest,0,2,0,0,0,0,0,0,0,0
AFRICA_2024_DynamicWorld_2024_38PLR_M_R,Built-up,0,3,8,0,0,0,0,0,0,0
