Value,AFRICA_2024_DynamicWorld_2024_35PQQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PQQ_M_R,AFRICA_2024_GLC_FCS30D_2022_35PQQ_M_R,AFRICA_2024_GSW_Yearly_2021_35PQQ_M_R,AFRICA_2024_GWL_FCS30D_2022_35PQQ_M_R,AFRICA_2024_WorldCover_2021_35PQQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
26,NULL,NULL,Wetland,NULL,Wetland,Bareland
27,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
28,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
30,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
31,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
36,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
38,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
39,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
40,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
41,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL
43,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
45,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
46,NULL,NULL,Forest,NULL,Non_Wetland,Forest
47,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
48,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
49,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
50,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
51,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
52,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
53,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
54,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
55,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
56,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
57,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
58,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
59,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
60,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
61,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
62,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
63,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
64,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
65,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
66,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
72,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
77,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
78,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
80,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
81,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
82,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
84,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
88,NULL,Forest,NULL,NULL,Non_Wetland,NULL
89,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
90,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
91,NULL,Forest,NULL,NULL,Non_Wetland,Forest
92,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
96,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
97,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
98,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
99,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
100,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
101,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Forest,Forest,NULL,Non_Wetland,NULL
103,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
104,NULL,Forest,Forest,NULL,Non_Wetland,Forest
105,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
106,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
107,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
108,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
109,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
110,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
111,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
112,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
113,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
114,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
115,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
116,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
117,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
