Value,AFRICA_2024_DynamicWorld_2024_35PRT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRT_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRT_M_R,AFRICA_2024_GSW_Yearly_2021_35PRT_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRT_M_R,AFRICA_2024_WorldCover_2021_35PRT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
24,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
26,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
29,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
31,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
32,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
34,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
36,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
37,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
38,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
39,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
40,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,Forest
44,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
47,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
48,NULL,NULL,Forest,Water,Non_Wetland,Grassland
49,NULL,NULL,Forest,Water,Non_Wetland,Bareland
50,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
51,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
52,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
53,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
54,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
55,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
56,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
57,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
58,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
59,NULL,Forest,Forest,NULL,Non_Wetland,NULL
60,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
61,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
62,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
63,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
64,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
65,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
66,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
67,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
68,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
69,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
70,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
71,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
72,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
73,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
74,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
75,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
76,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
77,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
78,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
79,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
80,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
81,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
82,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
83,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
84,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
85,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
86,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
87,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
88,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
89,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
90,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
91,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
92,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
93,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
94,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
95,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
96,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
97,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
98,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
99,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
100,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
101,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
102,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
103,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
105,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
106,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
107,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
108,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
109,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
110,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
111,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
112,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
113,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
114,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
116,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
