Value,AFRICA_2024_DynamicWorld_2024_36NWL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWL_M_R,AFRICA_2024_GSW_Yearly_2021_36NWL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWL_M_R,AFRICA_2024_WorldCover_2021_36NWL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
17,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
26,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
28,NULL,NULL,Wetland,NULL,Wetland,NULL
29,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
30,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
31,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
32,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
36,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
37,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
38,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
39,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
42,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
43,NULL,NULL,Water,NULL,Water,Grassland
44,NULL,NULL,Forest,NULL,Non_Wetland,NULL
45,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
46,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
47,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
48,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
49,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
50,NULL,NULL,Forest,NULL,Non_Wetland,Forest
51,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
52,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
53,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
54,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
55,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
63,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
67,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
68,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
70,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
71,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
72,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
73,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
74,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
75,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
76,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
77,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
78,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
81,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
82,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
83,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
84,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
85,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
86,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
87,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
88,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
89,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
90,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
91,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
92,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
93,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
94,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
95,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
96,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
97,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
98,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
99,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
106,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
107,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
108,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
109,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
110,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
111,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
112,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
113,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
114,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
115,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
116,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
117,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
118,NULL,Built-up,Wetland,NULL,Wetland,Built-up
