Value,AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
3,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Water,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
17,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
18,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
36,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
40,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
48,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
50,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
53,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
54,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
55,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
57,NULL,NULL,Bareland,Water,Non_Wetland,NULL
58,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
59,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
61,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
62,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
63,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
67,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
69,NULL,NULL,Built-up,Water,Non_Wetland,NULL
70,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
71,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
72,NULL,NULL,Water,Non_Water,Water,NULL
73,NULL,NULL,Water,Non_Water,Water,Grassland
74,NULL,NULL,Water,Non_Water,Water,Wetland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL
76,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
79,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest
81,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
91,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
97,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
98,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
99,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
105,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
107,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
108,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
110,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
114,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
117,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
118,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
