Value,AFRICA_2024_DynamicWorld_2024_36NXN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXN_M_R,AFRICA_2024_GSW_Yearly_2021_36NXN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXN_M_R,AFRICA_2024_WorldCover_2021_36NXN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Water,Non_Wetland,Water
20,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
31,NULL,NULL,Wetland,NULL,Wetland,NULL
32,NULL,NULL,Wetland,NULL,Wetland,Forest
33,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
34,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
40,NULL,NULL,Water,NULL,Water,Grassland
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL
42,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
43,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
44,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
45,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
46,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
47,NULL,NULL,Forest,NULL,Non_Wetland,Forest
48,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
51,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
52,NULL,NULL,Forest,Water,Non_Wetland,NULL
53,NULL,NULL,Forest,Water,Non_Wetland,Grassland
54,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
55,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
56,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
57,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
58,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
59,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
60,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
61,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
62,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
63,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
64,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
65,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
66,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
67,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
68,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
69,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
70,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
71,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
72,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
73,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
74,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
75,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
76,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
77,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
78,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
79,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
80,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
81,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
82,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
83,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
84,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
85,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
86,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
89,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
91,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
92,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
93,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
94,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
95,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
96,NULL,Built-up,Wetland,NULL,Wetland,Forest
97,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
98,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
99,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
100,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
101,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
102,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
103,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
104,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
105,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
106,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Water,Forest,NULL,Non_Wetland,NULL
108,NULL,Water,Forest,NULL,Non_Wetland,Forest
109,NULL,Forest,NULL,NULL,Non_Wetland,NULL
110,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
111,NULL,Forest,NULL,NULL,Non_Wetland,Forest
112,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
113,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
114,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
117,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
119,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
