Value,AFRICA_2024_DynamicWorld_2024_36NYL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYL_M_R,AFRICA_2024_GSW_Yearly_2021_36NYL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYL_M_R,AFRICA_2024_WorldCover_2021_36NYL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
16,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
33,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
41,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Forest
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
47,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
48,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
52,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
63,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
65,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
67,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
68,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland
72,NULL,NULL,Built-up,Water,Non_Wetland,NULL
73,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
74,NULL,NULL,Built-up,Water,Non_Wetland,Wetland
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Water,NULL,Water,Wetland
77,NULL,NULL,Water,Non_Water,Water,NULL
78,NULL,NULL,Water,Non_Water,Water,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
84,NULL,NULL,Forest,Water,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
86,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
103,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
105,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
110,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
111,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
113,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
114,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
115,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
116,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
117,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
118,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
