Value,AFRICA_2024_DynamicWorld_2024_36PUU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUU_M_R,AFRICA_2024_GSW_Yearly_2021_36PUU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUU_M_R,AFRICA_2024_WorldCover_2021_36PUU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
36,NULL,NULL,Grassland,Water,Non_Wetland,NULL
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
39,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
54,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
55,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
56,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL
59,NULL,NULL,Wetland,NULL,Wetland,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL
61,NULL,NULL,Wetland,Non_Water,Wetland,Forest
62,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
64,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
65,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
66,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
73,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
74,NULL,NULL,Water,NULL,Water,Grassland
75,NULL,NULL,Water,NULL,Water,Bareland
76,NULL,NULL,Water,Non_Water,Water,Grassland
77,NULL,NULL,Water,Non_Water,Water,Bareland
78,NULL,NULL,Water,Water,Water,Grassland
79,NULL,NULL,Water,Water,Water,Bareland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL
81,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
82,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
83,NULL,NULL,Forest,NULL,Non_Wetland,Forest
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
87,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
89,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
90,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
91,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
92,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
98,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
107,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
108,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
114,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
115,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
116,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
118,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
