Value,AFRICA_2024_DynamicWorld_2024_36PWA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWA_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWA_M_R,AFRICA_2024_GSW_Yearly_2021_36PWA_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWA_M_R,AFRICA_2024_WorldCover_2021_36PWA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
9,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland
10,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland
11,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest
12,NULL,NULL,NULL,Water,Non_Wetland,Grassland
13,NULL,NULL,NULL,Water,Non_Wetland,Cropland
14,NULL,NULL,NULL,Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
31,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
45,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
47,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
48,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
49,NULL,NULL,Grassland,Water,Non_Wetland,Forest
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
56,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL
64,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
65,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
66,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
67,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
68,NULL,NULL,Cropland,Water,Non_Wetland,Water
69,NULL,NULL,Cropland,Water,Non_Wetland,Forest
70,NULL,NULL,Wetland,NULL,Wetland,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,Cropland
73,NULL,NULL,Wetland,NULL,Wetland,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,Forest
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL
76,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
77,NULL,NULL,Wetland,Non_Water,Wetland,Cropland
78,NULL,NULL,Wetland,Non_Water,Wetland,Wetland
79,NULL,NULL,Wetland,Non_Water,Wetland,Forest
80,NULL,NULL,Wetland,Water,Wetland,Cropland
81,NULL,NULL,Wetland,Water,Wetland,Wetland
82,NULL,NULL,Wetland,Water,Wetland,Water
83,NULL,NULL,Wetland,Water,Wetland,Forest
84,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
85,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
86,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
87,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
89,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
90,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
91,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
94,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
95,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
96,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
97,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
98,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
99,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
100,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
101,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
102,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
103,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
104,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
105,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
106,NULL,NULL,Water,Water,Water,Cropland
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
110,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
111,NULL,NULL,Forest,NULL,Non_Wetland,Forest
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
113,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
114,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
115,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
116,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
117,NULL,NULL,Forest,Water,Non_Wetland,Grassland
118,NULL,NULL,Forest,Water,Non_Wetland,Cropland
119,NULL,NULL,Forest,Water,Non_Wetland,Forest
120,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
