Value,AFRICA_2024_DynamicWorld_2024_36PWC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PWC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PWC_M_R,AFRICA_2024_GSW_Yearly_2021_36PWC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PWC_M_R,AFRICA_2024_WorldCover_2021_36PWC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
9,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
11,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
17,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
18,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
28,NULL,NULL,Cropland,Water,Non_Wetland,NULL
29,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
30,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
33,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
34,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Bareland,Water,Non_Wetland,NULL
39,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
40,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
42,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
43,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
44,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
45,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
47,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
48,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
49,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
50,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
51,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
52,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
53,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
54,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
55,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
56,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
57,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
58,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
59,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
60,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
61,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
62,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
63,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
64,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
65,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
66,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
67,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
68,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
69,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
70,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
71,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
72,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
73,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
74,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
75,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
76,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
77,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
78,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
79,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
80,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
81,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
82,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
83,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
84,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
85,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
89,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
90,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
91,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
92,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
93,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
94,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
95,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
96,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
97,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
98,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
99,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
100,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
101,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
102,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
103,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
104,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
105,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
106,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
107,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
108,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
109,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
110,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
111,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
112,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
113,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
114,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
115,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
116,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
