Value,AFRICA_2024_DynamicWorld_2024_37PEL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEL_M_R,AFRICA_2024_GSW_Yearly_2021_37PEL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEL_M_R,AFRICA_2024_WorldCover_2021_37PEL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,Forest
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
32,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
34,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
37,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Cropland
46,NULL,NULL,Wetland,NULL,Wetland,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL
48,NULL,NULL,Wetland,Water,Wetland,Bareland
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
59,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
60,NULL,NULL,Bareland,NULL,Non_Wetland,Water
61,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
63,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
68,NULL,NULL,Bareland,Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
72,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Water,NULL,Water,Grassland
81,NULL,NULL,Water,NULL,Water,Bareland
82,NULL,NULL,Water,Water,Water,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL
84,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
86,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
87,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
88,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
89,NULL,NULL,Forest,NULL,Non_Wetland,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
92,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
95,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
96,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
97,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
113,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
