Value,AFRICA_2024_DynamicWorld_2024_37PHM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHM_M_R,AFRICA_2024_GSW_Yearly_2021_37PHM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHM_M_R,AFRICA_2024_WorldCover_2021_37PHM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL
30,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
32,NULL,NULL,Grassland,Water,Non_Wetland,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
36,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland
37,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
39,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,Cropland
47,NULL,NULL,Cropland,Water,Non_Wetland,Wetland
48,NULL,NULL,Wetland,NULL,Wetland,NULL
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
53,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
54,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
56,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland
57,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
59,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
62,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
63,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
65,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
66,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
67,NULL,NULL,Bareland,Water,Non_Wetland,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
69,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
70,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
77,NULL,NULL,Forest,NULL,Non_Wetland,Forest
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
79,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
80,NULL,NULL,Forest,Water,Non_Wetland,NULL
81,NULL,NULL,Forest,Water,Non_Wetland,Grassland
82,NULL,NULL,Forest,Water,Non_Wetland,Wetland
83,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
84,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
86,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
104,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
105,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
106,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
107,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
108,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
109,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
110,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
111,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
112,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
113,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
114,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
115,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
116,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
117,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
