Value,AFRICA_2024_DynamicWorld_2024_38NLP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLP_M_R,AFRICA_2024_WorldCover_2021_38NLP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Water
5,NULL,NULL,NULL,NULL,Non_Wetland,Forest
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,NULL
9,NULL,NULL,NULL,Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
21,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
27,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
28,NULL,NULL,Grassland,NULL,Non_Wetland,Water
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL
35,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
36,NULL,NULL,Grassland,Water,Non_Wetland,Cropland
37,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
38,NULL,NULL,Grassland,Water,Non_Wetland,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
40,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
41,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
44,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,Forest
50,NULL,NULL,Wetland,Water,Wetland,Grassland
51,NULL,NULL,Wetland,Water,Wetland,Bareland
52,NULL,NULL,Wetland,Water,Wetland,Water
53,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
54,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
59,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
60,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
61,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
63,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
64,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
65,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
66,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Water,Non_Wetland,Cropland
68,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
70,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
71,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
72,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
74,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
75,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
76,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
77,NULL,NULL,Built-up,Water,Non_Wetland,Water
78,NULL,NULL,Water,NULL,Water,Grassland
79,NULL,NULL,Water,NULL,Water,Bareland
80,NULL,NULL,Water,Non_Water,Water,Grassland
81,NULL,NULL,Water,Water,Water,Grassland
82,NULL,NULL,Water,Water,Water,Cropland
83,NULL,NULL,Water,Water,Water,Bareland
84,NULL,NULL,Water,Water,Water,Water
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL
86,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
87,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest
89,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
92,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
93,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
94,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
100,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
101,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
103,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
105,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
106,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
107,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
108,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
109,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
110,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
112,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
113,NULL,Cropland,Wetland,NULL,Wetland,Grassland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
115,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
116,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
