datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",292
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",248
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",188
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",103
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",94
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",80
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",63
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",55
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",28
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",28
"AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R",23
