datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",150
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",127
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",98
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",97
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",47
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",41
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",33
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",25
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",18
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",15
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",10
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",10
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",9
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",9
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",8
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",6
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",5
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",4
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",4
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",2
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWT_M_R",2
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWT_M_R",2
