Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Built-up,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Shrubland,3,3,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Grassland,0,16,12,1,1,5,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Cropland,56,6,25,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Wetland,99,0,68,0,1,1,64,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Bareland,21,1,24,0,1,0,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Built-up,18,0,14,3,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Water,144,55,112,19,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWU_M_R,Forest,108,35,0,12,9,13,55,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Grassland,0,12,0,0,0,0,7,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Bareland,0,9,0,0,0,0,6,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Forest,0,38,0,0,0,0,22,87,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Cropland,0,4,0,0,0,0,1,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Wetland,0,0,0,0,0,0,9,64,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Built-up,0,2,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWU_M_R,Water,0,56,0,0,0,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWU_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWU_M_R,Grassland,0,0,0,0,0,0,32,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWU_M_R,Wetland,0,0,0,0,0,0,95,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWU_M_R,Bareland,0,0,0,0,0,0,23,0,21,0,0
