datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",274
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",230
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",207
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",165
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",163
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",159
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",145
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",134
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",109
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R",100
