datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",346
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",245
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",193
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",188
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",91
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",86
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",80
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",77
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",58
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",46
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",42
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",42
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",39
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",38
"AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZV_M_R",33
