Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Shrubland,3,1,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Grassland,0,14,13,7,25,6,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Cropland,36,12,8,7,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Wetland,57,0,24,0,48,0,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Bareland,19,5,0,1,13,0,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Built-up,11,0,7,0,12,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Water,100,51,64,2,60,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Forest,73,42,36,15,0,6,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYH_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Grassland,0,13,0,0,0,0,4,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Forest,0,37,0,0,0,0,16,58,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Cropland,0,11,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Bareland,0,18,0,0,0,0,4,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Water,0,51,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYH_M_R,Wetland,0,0,0,0,0,0,4,27,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Grassland,0,0,0,0,0,0,37,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Wetland,0,0,0,0,0,0,76,0,35,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Forest,0,0,0,0,0,0,72,0,33,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Cropland,0,0,0,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Bareland,0,0,0,0,0,0,21,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Built-up,0,0,0,0,0,0,6,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYH_M_R,Water,0,0,0,0,0,0,0,0,77,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Water,40,51,9,9,47,20,0,0,0,49,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Cropland,28,11,3,7,21,0,0,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Bareland,9,18,0,4,16,0,4,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Built-up,7,2,3,0,4,2,0,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Forest,54,37,16,20,0,20,16,0,0,65,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Grassland,0,13,3,6,23,7,4,0,0,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Wetland,9,0,0,0,14,0,4,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYH_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Grassland,0,11,3,16,29,39,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Wetland,0,0,15,12,27,21,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Built-up,0,0,0,0,1,3,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Water,0,22,18,13,29,27,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Forest,0,20,4,20,0,34,42,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Bareland,0,0,0,9,2,7,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYH_M_R,Cropland,0,0,0,4,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Water,22,8,27,0,57,8,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Cropland,7,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Wetland,32,0,16,0,45,15,39,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Bareland,1,0,0,0,4,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Built-up,5,0,0,0,7,4,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Forest,20,2,4,0,0,13,16,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYH_M_R,Grassland,0,3,3,0,12,6,7,0,0,0,2
