datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",233
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",130
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",68
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",66
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R",59
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",54
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",50
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",44
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",32
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",28
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R",25
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",18
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R",17
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",16
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R",9
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",9
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R",9
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KDU_M_R",8
