datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",579
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",352
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",340
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",268
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",198
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",155
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",144
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",133
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",131
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",83
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",73
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",51
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",51
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",40
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",36
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",34
"AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",33
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R",28
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",26
"AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",24
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KEB_M_R",22
