Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Shrubland,3,2,3,3,2,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Grassland,0,9,7,17,13,5,0,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Cropland,31,0,0,25,5,1,0,23,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Wetland,47,0,0,23,0,29,0,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Bareland,85,5,12,0,20,42,9,50,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Built-up,14,8,1,13,0,3,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Water,122,19,48,125,18,0,16,103,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Forest,84,19,13,68,20,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LDE_M_R,Permanent_ice_and_snow,23,1,1,25,5,4,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Grassland,0,0,3,0,0,1,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Bareland,0,0,29,0,0,15,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Forest,0,0,27,0,0,13,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Wetland,0,0,0,0,0,3,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Water,0,0,44,0,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDE_M_R,Permanent_ice_and_snow,0,0,0,0,0,6,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Shrubland,0,0,0,0,0,5,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Grassland,0,0,0,0,0,16,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Wetland,0,0,0,0,0,49,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Bareland,0,0,0,0,0,84,0,0,0,40,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Water,0,0,0,0,0,0,0,0,0,124,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Forest,0,0,0,0,0,63,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Built-up,0,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Cropland,0,0,0,0,0,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDE_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Water,55,17,44,35,18,0,1,63,0,0,127,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Cropland,16,0,0,7,7,0,0,13,0,0,24,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Wetland,4,0,0,0,0,3,0,4,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Bareland,38,10,29,0,29,15,7,31,0,0,93,19
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Built-up,9,6,0,5,0,0,0,8,0,0,17,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Forest,45,26,27,29,28,13,0,0,0,0,77,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Grassland,0,10,3,8,8,1,0,12,0,0,33,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDE_M_R,Permanent_ice_and_snow,9,3,0,7,4,6,0,6,0,0,37,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Grassland,0,5,8,12,20,22,0,25,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Water,0,1,31,97,27,0,4,52,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Wetland,0,0,0,12,6,28,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Built-up,0,0,0,1,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Forest,0,0,5,30,36,64,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Cropland,0,0,0,10,11,17,0,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Bareland,0,12,10,0,14,56,8,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDE_M_R,Permanent_ice_and_snow,0,0,5,15,8,16,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDE_M_R,Water,10,8,10,70,0,0,31,66,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDE_M_R,Cropland,1,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDE_M_R,Wetland,8,7,0,29,0,20,4,27,0,0,0,0
