Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Cropland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Shrubland,2,2,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Grassland,0,11,9,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Cropland,28,2,21,9,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Wetland,30,0,24,9,2,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Bareland,36,3,37,0,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Built-up,7,0,5,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Water,56,30,60,68,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LEF_M_R,Forest,82,43,0,71,27,44,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Grassland,0,5,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Bareland,0,20,0,0,0,11,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Forest,0,34,0,0,0,17,0,64,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Cropland,0,3,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Wetland,0,0,0,0,0,6,0,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEF_M_R,Water,0,39,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Wetland,0,0,0,0,0,25,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Bareland,0,0,0,0,0,65,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Water,0,0,0,0,0,0,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Forest,0,0,0,0,0,83,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Grassland,0,0,0,0,0,5,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEF_M_R,Cropland,0,0,0,0,0,1,0,0,7,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEF_M_R,Grassland,0,2,17,0,16,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEF_M_R,Forest,0,23,0,20,15,64,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEF_M_R,Water,0,5,35,36,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEF_M_R,Wetland,0,0,18,7,1,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEF_M_R,Bareland,0,0,42,0,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEF_M_R,Cropland,0,0,7,7,0,11,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Cropland,17,3,10,8,0,0,4,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Wetland,1,0,6,13,0,6,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Bareland,25,20,23,0,3,11,21,0,0,37,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Water,39,39,36,29,16,0,15,0,0,49,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Built-up,3,0,2,1,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Forest,52,34,0,48,24,17,31,0,0,55,16,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEF_M_R,Grassland,0,5,12,6,5,0,2,0,0,9,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Wetland,17,0,43,9,12,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Water,4,3,81,61,31,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Forest,13,3,0,17,10,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Cropland,4,0,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Grassland,0,0,7,6,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Bareland,0,1,19,0,8,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEF_M_R,Built-up,0,0,1,0,1,0,0,0,0,0,0,0
