Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Shrubland,3,1,3,2,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Grassland,0,2,30,4,2,23,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Cropland,25,0,10,7,3,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Wetland,99,14,0,11,0,61,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Bareland,19,4,9,0,2,8,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Built-up,8,0,2,5,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Water,92,14,79,38,0,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Forest,98,25,57,39,8,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LGG_M_R,Permanent_ice_and_snow,7,0,2,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGG_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGG_M_R,Grassland,0,0,9,0,0,0,4,61,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGG_M_R,Cropland,0,0,3,0,0,0,1,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGG_M_R,Bareland,0,0,13,0,0,0,8,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGG_M_R,Forest,0,0,37,0,0,0,21,122,0,0,0,0
