Dataset,MajorityClass,Bareland,Wetland,Forest,Water,Grassland,Built-up,Cropland,Shrubland,Lichens_and_Mosses,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Water,1,213,68,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Grassland,10,3,1,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Built-up,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Forest,35,282,0,189,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Cropland,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Bareland,0,1,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCP_M_R,Wetland,0,0,1,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Water,15,2,186,0,53,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Grassland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Built-up,0,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Forest,4,0,0,141,93,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Bareland,0,0,1,3,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCP_M_R,Wetland,0,0,21,26,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Forest,53,133,0,200,123,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Grassland,3,0,0,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Water,49,104,37,0,44,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Bareland,0,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCP_M_R,Wetland,0,0,3,8,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCP_M_R,Forest,97,109,0,57,69,19,23,37,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCP_M_R,Grassland,0,0,3,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCP_M_R,Water,82,117,94,0,51,7,3,30,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCP_M_R,Cropland,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCP_M_R,Bareland,0,1,1,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCP_M_R,Forest,0,109,0,57,0,0,0,0,0,305,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCP_M_R,Water,0,117,0,0,0,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCP_M_R,Grassland,0,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCP_M_R,Bareland,0,1,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCP_M_R,Water,0,0,0,0,0,0,0,0,0,0,128,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCP_M_R,Grassland,0,0,0,3,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCP_M_R,Bareland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCP_M_R,Wetland,0,0,0,14,0,0,0,0,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCP_M_R,Forest,0,0,0,167,0,0,0,0,0,0,110,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCP_M_R,Grassland,0,0,6,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCP_M_R,Water,7,0,128,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCP_M_R,Bareland,0,0,2,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCP_M_R,Wetland,0,0,30,28,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCP_M_R,Forest,0,1,0,184,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCP_M_R,Water,39,5,335,0,4,0,4,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCP_M_R,Grassland,2,0,8,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCP_M_R,Forest,2,0,0,7,0,0,1,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCP_M_R,Wetland,0,0,52,7,0,0,0,0,0,0,0,0
