Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Bareland,Non_Water,Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Shrubland,2,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Grassland,0,1,7,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Cropland,1,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Wetland,13,0,6,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Bareland,1,0,2,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Built-up,5,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Water,32,0,43,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCS_M_R,Forest,43,1,0,29,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCS_M_R,Wetland,0,0,0,14,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCS_M_R,Water,0,0,0,0,0,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCS_M_R,Grassland,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCS_M_R,Bareland,0,0,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCS_M_R,Forest,0,0,0,32,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCS_M_R,Wetland,0,0,2,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCS_M_R,Grassland,0,2,7,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCS_M_R,Forest,0,7,0,44,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCS_M_R,Water,0,0,11,0,4,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCS_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,Built-up,2,0,1,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,Water,19,7,22,0,24,0,31,10,7,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,Forest,21,12,0,7,29,0,20,27,12,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,Grassland,0,0,4,1,3,0,4,4,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,Cropland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCS_M_R,Bareland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCS_M_R,Water,0,0,0,0,0,0,31,0,0,0,5,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCS_M_R,Forest,0,0,0,7,0,0,20,0,0,0,14,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCS_M_R,Grassland,0,0,0,1,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCS_M_R,Bareland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCS_M_R,Wetland,4,0,16,4,1,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCS_M_R,Water,8,0,56,0,9,0,2,0,8,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCS_M_R,Forest,4,0,0,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCS_M_R,Grassland,0,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCS_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCS_M_R,Water,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCS_M_R,Forest,5,0,0,5,0,0,8,0,0,0,0,0
