Dataset,MajorityClass,Non_Wetland,Wetland,Water,Grassland,Forest,Bareland,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDV_M_R,Wetland,8,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDV_M_R,Forest,102,24,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDV_M_R,Built-up,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDV_M_R,Water,24,17,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDV_M_R,Grassland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDV_M_R,Bareland,2,5,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Water,0,28,0,2,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Forest,0,78,37,42,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Shrubland,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Grassland,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Built-up,0,3,7,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Wetland,0,0,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Bareland,0,2,4,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDV_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Shrubland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Grassland,0,1,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Built-up,0,0,21,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Forest,0,35,92,40,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Wetland,0,0,6,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Water,0,12,0,2,5,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Bareland,0,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDV_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Forest,0,24,8,45,0,41,41,31,14,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Wetland,0,0,0,1,1,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Built-up,0,0,0,6,3,2,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Water,0,17,0,13,12,18,7,6,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Grassland,0,0,0,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Bareland,0,5,1,1,3,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDV_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDV_M_R,Wetland,0,0,15,0,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDV_M_R,Water,0,1,0,0,7,4,0,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDV_M_R,Forest,0,3,69,0,0,1,0,29,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDV_M_R,Grassland,0,0,2,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDV_M_R,Bareland,0,0,6,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDV_M_R,Forest,0,1,2,4,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDV_M_R,Water,0,0,0,0,44,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDV_M_R,Built-up,0,0,0,0,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDV_M_R,Wetland,0,0,2,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDV_M_R,Grassland,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDV_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
