Dataset,MajorityClass,Wetland,Grassland,Forest,Bareland,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Non_Wetland,3,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Grassland,55,0,19,18,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Bareland,7,9,3,0,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Forest,312,128,0,29,157,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Water,228,31,81,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Cropland,5,7,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Wetland,0,27,7,0,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,Built-up,11,38,0,23,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Non_Wetland,0,2,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Grassland,0,0,43,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Wetland,0,146,96,0,72,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Bareland,0,11,10,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Water,14,192,212,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Cropland,0,9,7,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Built-up,0,41,26,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R,Forest,0,175,0,3,100,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Grassland,22,0,0,0,1,0,79,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Wetland,0,0,0,0,1,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Forest,144,0,0,0,59,0,371,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Water,240,0,0,0,0,0,117,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Bareland,11,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,Built-up,2,0,0,0,6,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Non_Wetland,2,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Forest,206,210,0,108,120,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Grassland,40,0,0,26,9,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Water,122,83,28,78,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Cropland,2,7,0,7,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Wetland,0,51,4,38,53,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Built-up,5,12,0,35,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,Bareland,0,1,0,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Grassland,0,0,0,0,54,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Wetland,0,0,0,0,143,0,0,48,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Built-up,0,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Bareland,0,0,0,0,8,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Forest,0,0,0,0,157,0,0,88,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,Water,0,0,0,0,0,0,0,143,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Grassland,22,0,54,17,1,12,0,0,7,48,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Forest,144,70,0,99,59,22,0,0,31,84,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Wetland,0,2,2,1,1,0,0,0,1,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Bareland,11,1,6,0,0,0,0,0,1,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Water,240,50,88,77,0,7,0,0,8,31,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Built-up,2,1,11,0,6,0,0,0,1,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,Wetland,0,0,87,14,80,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,Water,8,0,103,24,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,Grassland,1,0,36,1,12,39,0,0,0,6,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,Bareland,0,0,1,0,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,Forest,7,0,0,1,165,47,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,Cropland,0,0,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,Forest,0,7,0,6,6,0,0,0,0,13,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,Water,8,27,342,57,0,0,0,0,0,17,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,Wetland,0,41,172,8,26,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,Grassland,0,0,76,1,1,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,Built-up,0,0,17,0,1,0,0,0,0,3,0,0
