Dataset,MajorityClass,Wetland,Grassland,Forest,Water,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Non_Wetland,7,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Grassland,24,0,7,9,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Water,403,33,49,0,236,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Forest,480,127,0,285,187,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Non_Water,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Shrubland,1,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Cropland,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Wetland,0,8,3,48,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Bareland,56,6,1,48,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Built-up,1,17,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Non_Wetland,0,5,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Grassland,0,0,29,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Wetland,0,98,101,57,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Water,27,294,371,0,18,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Bareland,0,76,107,96,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Shrubland,0,0,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Cropland,0,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Built-up,0,8,6,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Forest,3,216,0,158,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Non_Wetland,3,1,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Forest,199,213,0,283,219,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Wetland,0,26,7,95,46,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Shrubland,1,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Grassland,17,0,0,12,18,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Cropland,1,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Bareland,2,2,3,65,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Built-up,3,0,0,3,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Water,110,104,54,0,283,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Wetland,0,0,0,2,0,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Forest,172,0,0,60,0,0,555,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Grassland,3,0,0,0,0,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Water,283,0,0,0,0,0,278,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Bareland,63,0,0,29,0,0,62,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,Grassland,0,0,0,1,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,Water,0,0,0,0,0,0,0,279,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,Bareland,0,0,0,117,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,Wetland,0,0,0,58,0,0,0,76,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,Forest,0,0,0,229,0,0,0,156,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Grassland,3,0,15,0,6,7,0,0,11,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Forest,172,138,0,60,183,60,0,0,112,32,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Wetland,0,4,5,2,7,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Bareland,63,11,43,29,0,31,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,Water,283,104,186,0,184,51,0,0,91,1,8,0
