Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Bareland,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Wetland,123,12,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Water,176,0,130,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Grassland,92,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Shrubland,6,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Built-up,93,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Forest,468,37,85,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Bareland,25,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Wetland,0,59,0,161,96,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Water,0,0,35,85,184,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Grassland,0,0,0,0,18,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Shrubland,0,0,0,4,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Bareland,0,5,0,22,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Built-up,0,3,0,48,56,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Forest,0,42,6,172,0,2,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R,Permanent_ice_and_snow,0,0,0,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,Wetland,0,89,0,0,0,0,0,50,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,Grassland,0,10,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,Water,0,0,0,0,0,0,0,109,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,Forest,0,79,0,0,0,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Water,0,0,239,3,36,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Grassland,0,6,53,0,18,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Shrubland,0,0,1,2,2,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Bareland,0,13,8,12,9,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Wetland,0,107,0,7,6,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Built-up,0,4,32,18,9,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Forest,0,120,321,88,0,2,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,Permanent_ice_and_snow,0,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Grassland,0,1,1,0,13,9,0,0,19,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Wetland,0,12,0,22,27,27,11,0,23,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Built-up,0,0,0,21,9,17,0,0,51,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Forest,0,37,85,141,0,76,63,0,87,13,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Bareland,0,0,1,2,1,0,1,0,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Water,0,0,130,59,76,51,41,0,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Grassland,0,10,64,0,8,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Shrubland,0,1,5,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Built-up,0,29,71,21,6,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Forest,0,120,289,46,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Water,0,0,190,3,36,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Wetland,0,55,0,2,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Bareland,0,9,19,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,Permanent_ice_and_snow,0,1,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,Water,0,0,52,0,21,30,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,Bareland,0,0,0,0,1,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,Forest,0,173,26,0,0,0,134,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,Grassland,0,2,0,0,15,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,Wetland,0,67,0,0,62,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEA_M_R,Forest,0,3,3,10,0,0,0,0,0,4,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEA_M_R,Wetland,0,34,0,19,212,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEA_M_R,Water,0,0,8,6,279,22,0,0,0,0,0,3
