Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Shrubland,7,2,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Grassland,0,1,1,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Cropland,4,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Wetland,17,0,0,17,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Bareland,14,0,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Built-up,8,4,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Water,42,6,0,95,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Forest,96,7,5,0,22,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NEC_M_R,Permanent_ice_and_snow,3,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Grassland,0,0,0,7,1,1,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Forest,46,7,6,0,51,71,51,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Bareland,4,0,3,2,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Built-up,2,3,0,3,0,0,5,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Water,14,0,0,46,0,52,13,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Cropland,0,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Wetland,1,0,0,1,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEC_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEC_M_R,Shrubland,1,2,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEC_M_R,Grassland,0,3,0,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEC_M_R,Forest,65,9,0,0,46,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEC_M_R,Water,20,1,0,12,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEC_M_R,Wetland,1,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,Shrubland,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,Grassland,0,0,0,0,1,1,0,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,Forest,0,0,0,0,51,71,0,0,100,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,Water,0,0,0,0,0,52,0,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,Wetland,0,0,0,0,1,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEC_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,Shrubland,1,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,Forest,47,0,0,0,45,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,Water,8,0,0,31,0,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEC_M_R,Wetland,2,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,Wetland,0,0,0,0,5,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,Water,0,0,0,0,0,0,0,0,0,49,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,Grassland,0,0,0,0,3,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEC_M_R,Forest,0,0,0,0,58,0,0,0,0,36,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Grassland,0,2,4,9,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Forest,0,5,19,0,94,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Wetland,0,0,2,9,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Bareland,0,0,4,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Water,0,0,3,23,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEC_M_R,Permanent_ice_and_snow,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,Forest,4,3,0,0,3,1,0,5,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,Grassland,0,2,0,17,1,1,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,Water,0,1,0,141,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,Wetland,0,0,0,37,2,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEC_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
