Dataset,MajorityClass,Forest,Bareland,Built-up,Grassland,Water,Wetland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Grassland,26,5,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Bareland,7,0,1,13,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Shrubland,4,2,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Wetland,88,3,0,72,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Cropland,1,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Built-up,11,3,0,20,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Water,178,19,0,72,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Forest,0,15,13,224,37,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Grassland,6,58,2,0,3,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Non_Wetland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Water,15,35,0,51,0,172,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Forest,0,198,3,146,90,263,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Shrubland,0,4,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Cropland,1,1,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Wetland,5,3,0,24,52,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Built-up,0,23,0,1,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Bareland,0,0,0,3,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGA_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Bareland,3,0,0,7,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Forest,0,53,0,196,150,247,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Grassland,24,12,0,0,13,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Shrubland,4,0,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Cropland,1,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Wetland,5,0,0,13,52,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Built-up,10,11,0,11,6,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Water,32,0,0,28,0,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGA_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Forest,0,0,0,0,59,106,399,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Grassland,0,0,0,0,6,3,76,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Wetland,0,0,0,0,6,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Water,0,0,0,0,0,104,147,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Cropland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Built-up,0,0,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Bareland,0,0,0,0,1,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Grassland,35,5,4,0,6,3,0,30,6,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Wetland,11,3,1,5,6,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Forest,0,47,54,143,59,106,0,86,44,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Water,84,55,25,46,0,104,0,33,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Bareland,6,0,2,1,1,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Built-up,5,1,0,5,0,0,0,8,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,Wetland,0,0,0,0,27,0,0,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,Water,0,0,0,0,0,0,0,0,0,0,94,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,Grassland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGA_M_R,Forest,0,0,0,0,51,0,0,0,0,0,29,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,Water,27,17,5,0,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,Grassland,21,0,57,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,Bareland,0,0,12,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,Forest,0,0,100,0,145,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,Wetland,63,0,12,0,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGA_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,Forest,0,21,0,15,22,4,0,0,14,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,Wetland,153,0,0,3,18,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,Water,210,37,0,1,0,14,0,0,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,Grassland,68,8,0,0,6,0,0,0,6,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,Built-up,5,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGA_M_R,Bareland,4,0,0,0,1,0,0,0,0,0,0,0
