Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Shrubland,3,3,3,3,2,2,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Grassland,0,16,37,9,4,20,46,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Cropland,85,0,43,15,6,12,51,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Wetland,168,26,0,57,16,76,125,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Bareland,81,4,24,0,4,19,28,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Built-up,16,2,1,8,0,5,18,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Water,180,13,109,75,2,0,143,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R,Forest,81,5,33,12,9,20,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Grassland,0,0,15,0,0,6,0,112,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Cropland,0,0,16,0,0,1,0,78,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Bareland,0,0,28,0,0,3,0,47,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Built-up,0,0,1,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Forest,0,0,44,0,0,14,0,95,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Wetland,0,0,0,0,0,14,0,250,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R,Water,0,0,75,0,0,0,0,137,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Shrubland,0,0,0,0,0,5,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Grassland,0,0,0,0,0,83,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Cropland,0,0,0,0,0,68,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Wetland,0,0,0,0,0,220,0,0,69,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Bareland,0,0,0,0,0,83,0,0,21,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Built-up,0,0,0,0,0,12,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Water,0,0,0,0,0,0,0,0,149,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R,Forest,0,0,0,0,0,82,0,0,31,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Water,91,64,75,45,11,0,79,0,0,116
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Cropland,42,0,16,16,2,1,21,0,0,56
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Wetland,61,35,0,21,8,14,46,0,0,65
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Bareland,27,19,28,0,16,3,20,0,0,47
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Built-up,7,8,1,3,0,0,2,0,0,15
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Forest,51,39,44,20,12,14,0,0,0,60
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R,Grassland,0,38,15,20,8,6,30,0,0,50
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Grassland,0,55,66,9,18,38,30,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Wetland,0,79,0,46,22,61,38,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Bareland,0,20,22,0,3,26,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Forest,0,34,56,9,22,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Water,0,78,126,53,16,0,28,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R,Cropland,0,0,30,2,7,7,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Water,49,34,37,56,0,0,60,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Cropland,10,0,6,7,0,6,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Wetland,71,63,0,61,0,66,69,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Bareland,4,3,1,0,0,8,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Forest,25,11,13,9,0,18,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Built-up,1,3,1,0,0,1,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R,Grassland,0,10,14,13,0,12,12,0,0,0
