Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Shrubland,3,3,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Grassland,0,7,5,1,8,1,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Cropland,8,0,2,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Wetland,42,0,5,0,25,0,17,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Bareland,9,0,0,0,7,0,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Built-up,7,0,2,0,6,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Water,63,32,18,0,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Forest,38,13,18,1,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R,Permanent_ice_and_snow,4,0,2,0,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,Grassland,0,4,0,0,0,0,1,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,Forest,0,24,0,0,0,0,12,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,Wetland,0,0,0,0,0,0,4,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,Water,0,31,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,Bareland,0,4,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Grassland,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Wetland,0,0,0,0,0,0,31,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Water,0,0,0,0,0,0,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Forest,0,0,0,0,0,0,25,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,Bareland,0,0,0,0,0,0,4,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Water,30,31,2,4,26,3,0,0,0,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Cropland,4,0,1,0,6,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Wetland,6,0,0,0,9,0,4,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Bareland,4,4,0,0,5,2,3,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Built-up,5,0,1,0,2,2,0,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Forest,34,24,6,4,0,8,12,0,0,28,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Grassland,0,4,0,0,9,3,1,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,Permanent_ice_and_snow,2,0,0,0,4,1,0,0,0,3,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Grassland,0,7,0,8,14,2,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Water,0,23,5,7,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Forest,0,8,2,11,0,1,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Wetland,0,0,1,4,15,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Bareland,0,0,0,0,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R,Wetland,15,0,4,0,33,1,22,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R,Water,5,17,13,0,45,5,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R,Forest,8,7,10,0,0,9,13,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R,Grassland,0,2,3,0,7,3,4,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0
