Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Shrubland,3,3,3,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Grassland,0,18,18,14,6,13,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Cropland,72,0,15,72,30,60,52,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Wetland,34,13,0,17,0,30,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Lichens_and_Mosses,1,2,0,2,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Bareland,101,45,19,0,33,87,78,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Built-up,13,10,1,12,0,8,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Water,128,43,33,108,11,0,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Forest,102,43,20,81,36,63,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R,Permanent_ice_and_snow,16,2,0,13,3,9,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Grassland,0,0,3,0,0,1,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Cropland,0,0,9,0,0,9,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Bareland,0,0,26,0,0,12,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Forest,0,0,26,0,0,23,0,22,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Wetland,0,0,0,0,0,4,0,28,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R,Water,0,0,49,0,0,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Shrubland,0,0,0,0,0,5,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Grassland,0,0,0,0,0,22,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Cropland,0,0,0,0,0,72,0,0,25,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Wetland,0,0,0,0,0,48,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Bareland,0,0,0,0,0,134,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Built-up,0,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Water,0,0,0,0,0,0,0,0,158,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Forest,0,0,0,0,0,97,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Water,75,31,49,67,47,0,67,0,0,133,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Cropland,74,0,9,58,46,9,41,0,0,88,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Wetland,3,1,0,3,0,4,6,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Bareland,76,40,26,0,64,12,55,0,0,105,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Built-up,9,6,0,8,0,0,7,0,0,10,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Forest,68,49,26,53,50,23,0,0,0,95,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Grassland,0,11,3,9,9,1,16,0,0,27,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R,Permanent_ice_and_snow,6,9,0,3,7,0,8,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKF_M_R,Water,0,56,9,85,14,0,52,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKF_M_R,Grassland,0,20,1,12,12,14,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKF_M_R,Wetland,0,8,0,14,1,24,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKF_M_R,Bareland,0,62,7,0,35,76,52,0,0,0,0,0
