Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Shrubland,3,2,1,3,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Grassland,0,14,0,16,6,2,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Cropland,78,0,0,66,27,16,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Wetland,34,1,0,21,0,15,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Lichens_and_Mosses,2,1,0,3,1,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Bareland,102,47,0,0,24,57,60,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Built-up,13,10,0,9,0,2,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Water,124,41,1,124,2,0,100,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Forest,102,42,2,72,21,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R,Permanent_ice_and_snow,1,0,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Cropland,0,0,14,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Bareland,0,0,31,0,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Water,0,0,51,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Grassland,0,0,4,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Forest,0,0,24,0,0,13,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R,Wetland,0,0,0,0,0,0,0,19,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Grassland,0,0,0,0,0,24,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Cropland,0,0,0,0,0,38,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Wetland,0,0,0,0,0,26,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Bareland,0,0,0,0,0,112,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Built-up,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Water,0,0,0,0,0,0,0,0,138,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R,Forest,0,0,0,0,0,85,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Water,46,39,51,54,37,0,44,0,0,98,26,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Cropland,37,0,14,35,24,10,40,0,0,60,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Bareland,52,42,31,0,61,17,43,0,0,84,39,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Built-up,8,8,0,5,0,0,4,0,0,8,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Forest,46,52,24,44,36,13,0,0,0,82,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Grassland,0,16,4,7,5,2,18,0,0,25,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Wetland,1,0,0,4,0,0,2,0,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Grassland,0,40,0,6,10,14,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Wetland,0,17,0,4,1,12,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Bareland,0,68,0,0,25,68,36,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Built-up,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Water,0,73,0,57,13,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Forest,0,60,0,27,26,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Cropland,0,0,0,8,31,20,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Cropland,15,0,0,17,0,13,18,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Bareland,1,20,0,0,0,23,15,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Water,8,14,3,71,0,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Forest,13,14,2,18,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Grassland,0,6,1,11,0,5,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Wetland,0,9,0,20,0,13,22,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R,Built-up,0,7,0,9,0,2,6,0,0,0,0,0
