Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Shrubland,3,3,2,3,1,2,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Grassland,0,17,16,7,1,13,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Cropland,84,0,36,31,17,30,61,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Wetland,135,88,0,25,2,101,107,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Lichens_and_Mosses,2,0,0,1,1,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Bareland,53,34,13,0,14,51,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Built-up,16,8,0,13,0,5,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Water,169,125,99,65,1,0,160,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Forest,112,73,54,63,31,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Grassland,0,0,6,0,0,8,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Cropland,0,0,30,0,0,25,0,75,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Bareland,0,0,20,0,0,9,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Forest,0,0,46,0,0,32,0,145,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Wetland,0,0,0,0,0,24,0,243,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Water,0,0,67,0,0,0,0,110,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPU_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Shrubland,0,0,0,0,0,4,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Grassland,0,0,0,0,0,20,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Cropland,0,0,0,0,0,77,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Wetland,0,0,0,0,0,186,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Bareland,0,0,0,0,0,43,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Water,0,0,0,0,0,0,0,0,240,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Forest,0,0,0,0,0,148,0,0,77,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPU_M_R,Built-up,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Water,28,71,67,54,22,0,92,0,0,70,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Cropland,32,0,30,30,22,25,65,0,0,41,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Wetland,11,44,0,24,2,24,62,0,0,34,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Bareland,26,42,20,0,20,9,47,0,0,33,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Built-up,11,13,0,6,0,1,10,0,0,10,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Forest,60,89,46,60,39,32,0,0,0,79,33
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPU_M_R,Grassland,0,27,6,5,2,8,27,0,0,19,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Grassland,0,23,19,0,7,4,26,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Wetland,0,63,0,13,12,65,80,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Water,0,91,138,32,19,0,114,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Forest,0,50,73,5,49,69,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Cropland,0,0,33,3,29,21,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Bareland,0,18,7,0,20,45,40,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPU_M_R,Built-up,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Water,52,90,86,98,0,0,112,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Cropland,13,0,14,20,0,11,26,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Wetland,45,59,0,56,0,51,78,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Forest,28,40,27,35,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Grassland,0,5,1,7,0,4,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Bareland,0,5,0,0,0,3,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPU_M_R,Built-up,0,11,0,9,0,2,10,0,0,0,0
