Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Shrubland,3,1,1,2,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Grassland,0,8,3,3,5,15,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Cropland,82,0,49,31,30,67,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Wetland,29,1,6,3,12,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Lichens_and_Mosses,1,2,1,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Bareland,44,10,0,21,12,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Built-up,18,9,13,0,6,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Water,103,13,71,8,0,120,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Forest,67,15,43,33,26,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KQA_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Grassland,0,0,0,0,9,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Cropland,0,0,0,0,68,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Bareland,0,0,0,0,36,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Built-up,0,0,0,0,13,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Forest,0,0,0,0,67,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Wetland,0,0,0,0,24,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQA_M_R,Water,0,0,0,0,0,0,0,86,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Cropland,0,0,0,0,10,0,12,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Forest,0,0,0,0,22,0,22,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Wetland,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Built-up,0,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Grassland,0,0,0,0,2,0,2,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Water,0,0,0,0,0,0,36,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQA_M_R,Bareland,0,0,0,0,3,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Water,29,50,46,29,0,30,36,0,0,58,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Cropland,39,0,41,34,10,32,12,0,0,47,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Wetland,0,4,1,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Bareland,26,27,0,28,3,14,6,0,0,31,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Built-up,8,12,9,0,1,7,1,0,0,12,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Forest,34,56,31,45,22,0,22,0,0,50,19,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Grassland,0,13,5,7,2,7,2,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQA_M_R,Permanent_ice_and_snow,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Grassland,0,37,0,11,2,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Wetland,0,25,0,14,3,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Bareland,0,64,0,34,18,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Water,0,111,2,54,0,37,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Built-up,0,4,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Forest,0,77,0,53,34,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQA_M_R,Cropland,0,0,0,33,10,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQA_M_R,Cropland,16,0,22,0,12,23,3,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQA_M_R,Built-up,2,16,16,0,7,14,0,0,0,0,0,0
