Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Grassland,513,176,185,137,170,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Non_Wetland,5,1,0,2,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Shrubland,93,28,35,26,22,4,193,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Cropland,304,0,131,7,71,7,465,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Wetland,211,7,14,0,38,74,393,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Bareland,153,64,87,4,0,16,350,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Built-up,281,59,0,0,73,8,338,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Water,898,35,52,175,406,0,1068,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Forest,0,44,132,62,106,98,732,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Non_Wetland,0,0,0,9,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Shrubland,10,0,6,31,27,9,76,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Grassland,149,0,125,276,259,190,0,370,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Cropland,106,0,70,49,197,35,462,225,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Bareland,30,0,55,60,0,81,237,72,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Built-up,41,0,0,42,171,48,202,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Water,184,0,108,303,250,0,1007,259,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Forest,0,0,142,502,329,318,1004,458,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPN_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
