datasets,count
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",848
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",596
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",584
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",381
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",263
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",199
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",179
"AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",175
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",165
"AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQJ_M_R",142
