Dataset,MajorityClass,Non_Wetland,Water,Wetland,Bareland,Built-up,Grassland,Forest,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Grassland,98,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Wetland,430,49,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Forest,536,38,80,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Water,408,0,137,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Shrubland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Bareland,6,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,Built-up,42,5,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Grassland,0,12,77,13,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Forest,0,138,372,76,34,40,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Water,0,0,399,16,26,3,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Shrubland,0,2,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Wetland,0,207,0,4,1,1,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Bareland,0,2,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,Built-up,0,4,23,25,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Wetland,0,112,0,0,0,325,289,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Shrubland,0,0,0,0,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Water,0,0,146,6,0,299,278,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Grassland,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Bareland,0,0,0,0,0,5,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Built-up,0,15,0,5,0,35,64,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R,Forest,0,20,24,0,1,136,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Wetland,0,274,0,4,2,4,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Shrubland,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Water,0,0,342,7,3,3,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Grassland,0,16,55,7,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Bareland,0,3,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Built-up,0,15,23,29,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,Forest,0,206,332,54,18,49,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,Wetland,0,275,0,0,0,0,0,166,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,Grassland,0,10,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,Water,0,0,0,0,0,0,0,187,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,Built-up,0,8,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,Forest,0,86,0,0,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,Wetland,0,49,0,127,21,72,75,0,49,5,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,Forest,0,38,80,121,42,118,0,0,60,24,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,Water,0,0,137,175,23,99,117,0,43,2,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,Grassland,0,6,0,9,9,0,17,0,11,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,Built-up,0,5,5,9,0,17,11,0,22,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,Bareland,0,0,0,0,0,1,1,0,2,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,Water,0,0,194,7,37,0,76,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,Wetland,0,89,0,2,25,0,105,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,Bareland,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,Forest,0,111,67,0,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,Grassland,0,1,5,0,3,0,8,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,Wetland,0,147,0,4,0,56,379,0,0,32,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,Forest,0,7,2,0,0,12,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,Bareland,0,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,Water,0,0,44,2,0,14,365,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,Grassland,0,2,1,0,0,0,28,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,Built-up,0,4,0,0,0,0,16,0,0,0,0
