Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Non_Wetland,3,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Grassland,112,0,80,32,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Water,504,18,0,11,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Forest,516,154,318,70,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Shrubland,3,1,1,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Wetland,0,34,317,10,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Bareland,3,0,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Built-up,29,16,28,34,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLA_M_R,Cropland,0,3,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Non_Wetland,0,1,0,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Grassland,0,0,0,0,53,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Wetland,0,442,76,0,314,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Water,212,445,0,4,343,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Shrubland,0,5,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Bareland,0,16,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Built-up,0,74,0,1,55,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Forest,18,306,76,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLA_M_R,Cropland,0,4,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Non_Wetland,3,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Forest,433,271,171,145,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Water,470,103,0,95,17,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Shrubland,4,2,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Grassland,97,0,30,23,1,3,0,0,0,0,0,0
