Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Non_Wetland,1,3,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Shrubland,2,5,4,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Grassland,0,7,7,5,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Wetland,33,0,29,5,100,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Bareland,9,35,0,1,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Built-up,18,10,12,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Water,24,115,17,16,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Forest,78,90,36,47,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Cropland,0,2,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNE_M_R,Permanent_ice_and_snow,2,8,4,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Non_Wetland,1,4,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Bareland,5,51,0,0,42,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Built-up,30,28,27,0,12,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Forest,68,142,38,4,72,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Shrubland,3,4,1,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Grassland,0,23,1,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Wetland,31,0,18,0,107,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Water,14,115,7,1,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Cropland,2,1,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNE_M_R,Permanent_ice_and_snow,0,11,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Wetland,0,0,0,0,17,0,253,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Shrubland,0,0,0,0,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Grassland,0,0,0,0,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Bareland,0,4,0,0,4,0,79,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Built-up,0,9,0,0,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Forest,0,25,0,0,11,0,218,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Water,0,35,0,0,0,0,134,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Grassland,0,0,5,1,0,8,0,12,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Wetland,40,0,45,34,17,41,0,47,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Built-up,3,9,7,0,0,14,0,28,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Water,40,35,42,31,0,44,0,29,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Bareland,7,4,0,9,4,14,0,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Forest,33,25,43,36,11,0,0,69,8,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Cropland,1,0,0,0,0,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNE_M_R,Permanent_ice_and_snow,2,0,2,2,0,6,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Water,0,66,36,12,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Wetland,0,0,26,32,65,50,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Grassland,0,1,0,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Bareland,0,17,0,8,8,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Forest,0,27,5,50,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Built-up,0,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNE_M_R,Permanent_ice_and_snow,0,2,8,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNE_M_R,Wetland,25,0,53,0,48,123,0,0,12,0,60
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNE_M_R,Water,12,23,46,0,0,78,0,0,4,0,43
