Dataset,MajorityClass,Wetland,Shrubland,Grassland,Forest,Bareland,Water,Built-up,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Non_Wetland,4,1,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Grassland,66,6,0,27,13,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Wetland,0,4,26,12,0,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Bareland,12,0,6,2,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Water,248,0,45,59,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Forest,375,19,191,0,8,171,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Shrubland,5,0,2,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Cropland,0,0,5,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,Built-up,21,0,7,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Non_Wetland,0,0,2,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Grassland,8,0,0,40,1,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Wetland,0,0,147,94,9,33,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Bareland,0,0,10,6,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Water,80,0,134,237,43,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Shrubland,0,0,6,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Cropland,0,0,4,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Built-up,0,0,12,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R,Forest,22,0,173,0,3,86,10,0,0,0,0,0
